"","linenumber","sentiment","overall","date","Content"
"6857",6860,0,"Negative","09/23/16","U.S. stocks closed near session lows Friday, with investor sentiment hit by a renewed slide in crude-oil prices."
"6858",6861,-1,"Negative","09/26/16","Gold futures climbed Monday, recouping most of what they lost in the previous session as a weaker dollar and losses in the U.S. stock market buoyed demand for the precious metal."
"6859",6862,-3,"Negative","09/26/16","U.S. stocks extended losses Monday as worries about Germany’s Deutsche Bank weighed on the financial sector while the upcoming U.S. presidential debate also contributed to jittery sentiment."
"6860",6863,1,"Positive","09/26/16","The U.S. dollar weakened slightly against its main rivals Monday as investors looked ahead to the first debate between presidential contenders Hillary Clinton and Donald Trump."
"6861",6864,2,"Positive","09/27/16","While you were sleeping, stock futures went on a merry run higher, high fiving after the first presidential debate — maybe one of the weirdest ever — saw Hillary Clinton largely declared the winner."
"6862",6865,0,"Negative","09/27/16","Gold futures on Tuesday fell to their lowest finish in a week as demand for haven assets dulled in the wake of the first U.S. presidential debate."
"6863",6866,2,"Positive","09/27/16","U.S. stocks closed higher Tuesday, with the Dow industrials rising more than 100 points after the first presidential debate between Democratic candidate Hillary Clinton and Republican contender Donald Trump and a number of stronger-than-expected economic reports."
"6864",6867,1,"Positive","09/28/16","Gold futures settled lower Wednesday for a second straight session as traders focused on Federal Reserve Chairwoman Janet Yellen’s testimony at a House hearing and upcoming comments this week from other speakers at the central bank."
"6865",6868,0,"Negative","09/28/16","Currencies with a high correlation to the price of oil rallied on Wednesday, finding support after members of the Organization of the Petroleum Exporting Countries agreed on the need for a deal to limit output that could be reached before the end of the year."
"6866",6869,0,"Negative","09/28/16","U.S. stocks swung higher Wednesday after OPEC took an important step toward a cap on crude-oil output."
"6867",6870,-1,"Negative","09/29/16","As we say “See ya!” to the third quarter, everyone is focused on oil, trouble-making banks and the presidential race."
"6868",6871,3,"Positive","09/29/16","Gold futures staged a turnaround late in Thursday’s session, settling higher as a drop in U.S. equities boosted the investment appeal of the precious metal."
"6869",6872,-1,"Negative","09/29/16","U.S. stocks closed lower Thursday, recovering from session lows, following a selloff fueled by investor worry about European banks and talk of a December rate increase by the Federal Reserve."
"6870",6873,0,"Negative","09/30/16","It’s looking nicht so gut on this quarter’s last day, as Deutsche Bank’s woes keep weighing heavily on markets around the world."
"6871",6874,1,"Positive","09/30/16","Investors looking to speculate on Republican presidential candidate Donald Trump’s chances of winning the election would be hard-pressed to find a better vehicle than the ruble-peso currency cross, according to Matt Weller, a senior market analyst at Faraday Research."
"6872",6875,0,"Negative","09/30/16","The euro rebounded on Friday after briefly touching a one-week low against the U.S. dollar as shares of beleaguered German lender Deutsche Bank AG bounced back."
"6873",6876,1,"Positive","10/03/16","Gold futures finished at their lowest level in more than two weeks on Monday, with prices posting their fourth loss in five sessions on the back of a stronger U.S. dollar."
"6874",6877,-2,"Negative","10/03/16","Oil futures settled at a multiweek high on Monday, after a volatile session which saw prices switch between gains and losses as traders assessed last week’s preliminary production agreement by OPEC and it’s potential to curb the global glut."
"6875",6878,-2,"Negative","10/03/16","The pound unraveled against the dollar on Monday, losing ground after U.K. Prime Minister Theresa May indicated she would pursue a clean break from the European Union."
"6876",6879,-1,"Negative","10/04/16","A widely watched gauge of the dollar’s value against a basket of rivals just touched its highest level since late July, a sign that volatility might be returning to currency markets after a relatively placid summer."
"6877",6880,0,"Negative","10/04/16","Suffering their largest one-day percentage loss since December 2013, gold futures settled Tuesday at a more than three-month low, according to FactSet data. Strength in the U.S. dollar 
        DXY,
        +0.60%,
       at the expense of the British pound 
        GBPUSD,
        -0.83%,
       technical selling, and growing prospects for a Federal Reserve interest-rate hike before the end of the year all contributed to the drop in gold prices. December gold 
        gcz6
       fell $43, or 3.3%, to settle at $1,269.70 an ounce."
"6878",6881,2,"Positive","10/04/16","Gold futures ended at a 3 1/2-month low as the dollar continued to flex its muscle against leading rivals, the pound in particular, cutting demand for commodities priced in the U.S. currency."
"6879",6882,-3,"Negative","10/04/16","Oil futures on Tuesday finished in negative territory, after struggling for direction throughout much the session, as traders continued to assess OPEC's preliminary output deal, ahead of weekly data that are expected to show an increase in U.S. crude supplies. November West Texas Intermediate crude oil 
        CLX26,
        
       closed 12 cents, or 0.2%, lower at $48.69 a barrel, while December Brent crude-oil 
        UK:LCOZ6
       settled little-changed off 2 cents, or less than 0.1%, to end at $50.87 a barrel. A surge in the dollar 
        DXY,
        +0.60%
       on heightened expectations about a rate hike by the Federal Reserve at its coming December meeting, helped push the greenback higher, weighing on assets priced in the currency, like oil and gold 
        GCZ6.
       Crude-oil traders are awaiting an update due Wednesday from the Energy Information Administration on weekly petroleum supplies. The American Petroleum Institute, a trade group, releases its own figures later Tuesday."
"6880",6883,-2,"Negative","10/04/16","Gold might have further to fall in the near term, but market bulls expect the retreat to offer investors who missed gold’s first-half 2016 rally a strong buying opportunity. Bears say it could get ugly first."
"6881",6884,-3,"Negative","10/04/16","Oil futures on Tuesday settled marginally lower, struggling for direction throughout much of the session, as traders continued to assess the impact of a preliminary OPEC output pact, and awaited weekly data that are expected to show an increase in U.S. crude supplies."
"6882",6885,1,"Positive","10/04/16","U.S. stocks on Tuesday finished in the red in the wake of a report that the European Central Bank could start winding down its quantitative-easing program ahead of schedule."
"6883",6886,-1,"Negative","10/04/16","A key dollar index on Tuesday traded above both its 50-day and 200-day moving average, while the British pound took a beating, falling to its lowest level against the buck since 1985."
"6884",6887,0,"Negative","10/05/16","Asian shares had a mixed session on Wednesday amid renewed investor concerns the U.S. Federal Reserve would raise interest rates by the year’s end."
"6885",6888,2,"Positive","10/05/16","Gold futures settled lower Wednesday, extending their losses into a fourth-straight session as a better-than-expected reading on the U.S. services sector helped dull the metal’s investment appeal."
"6886",6889,3,"Positive","10/05/16","The dollar rallied against the yen on Wednesday, lifted by a stronger-than-expected read on the U.S. services sector, though it slipped against the pound, which remains near multidecade lows despite a modest recovery on the day."
"6887",6890,-2,"Negative","10/05/16","U.S. stocks closed higher Wednesday, trading off session highs as they rebounded from losses of the past two sessions, fueled by rising oil prices. A resurgent services sector also helped to lift demand for equities and other assets perceived as risky."
"6888",6891,0,"Negative","10/06/16","Here we go again: OPEC has called another informal meeting to hash out details for its plan to lift oil prices — this time in Istanbul and kicking off this weekend."
"6889",6892,2,"Positive","10/06/16","Gold futures slid for a fifth straight session on Thursday, settling at their lowest level in about four months, as mostly upbeat economic data kept alive expectations for gold-negative, higher U.S. interest rates this year."
"6890",6893,0,"Negative","10/06/16","U.S. stocks flatlined on Thursday as investors abstained from making big bets ahead of Friday’s much-anticipated September jobs report."
"6891",6894,0,"Negative","10/06/16","The dollar firmed against its major rivals on Thursday, extending its recent strength as investors bet that recent economic data made an interest-rate increase by the Federal Reserve a near-certainty in the coming months."
"6892",6895,0,"Negative","10/07/16","There’s nothing like a flash crash to help set the tone for jobs day."
"6893",6896,1,"Positive","10/07/16","The U.S. dollar weakened against the euro on Friday, following a September jobs report that came in below expectations but was not seen as derailing the expectation that the Federal Reserve would rates at its December meeting. Following the report, Cleveland Federal Reserve President Loretta Mester told CNBC that the U.S. was at full employment and that gradual rate hikes were needed. Mester is a voting member of the policy-setting Federal Open Market Committee, who has been a proponent of hiking rates sooner than later. The ICE U.S. Dollar index [S: DXY], which rose as high as 0.27% after the report, paired its gains to trade up 0.08%. The euro [S: EURUSD] was at $1.1148 from $1.1139 late Thursday while the pound [S: GBPUSD] was at $1.2341 from $1.2352. Earlier on Friday, the pound rose as high as $1.2484."
"6894",6897,-1,"Negative","10/07/16","A conundrum for investors during the last decade has been how to generate income in a world with little or none of it to speak of. In hindsight, they could have owned just about any asset, watched its value soar and sold bits of it along the way, but that was not a viable option for those among us who must start each day in ignorance of what will unfold."
"6895",6898,-2,"Negative","10/07/16","Gold futures on Friday stretched their losing streak to a sixth straight session and posted a  roughly 5% loss for the week—the largest such loss in about 3 years."
"6896",6899,1,"Positive","10/07/16","The U.S. dollar fell against its major rivals on Friday, snapping a four-day streak of gains after a report showed fewer U.S. jobs added in September than had been expected but likely not surprising enough to change the Federal Reserve’s timetable for raising interest rates."
"6897",6900,1,"Positive","10/07/16","U.S. stocks fell Friday to close out the week lower following a report on U.S. employment that came in below expectations but was viewed as strong enough for the Federal Reserve to consider raising interest rates by the end of the year."
"6898",6901,-1,"Negative","10/10/16","Best put those noise-cancelling headphones on now, if you haven’t already. This weekend was one more reminder that the U.S. election is going to be one crazy ride to the finish."
"6899",6902,-2,"Negative","10/10/16","Gold futures snapped a six-session losing streak on Monday, rebounding after suffering their biggest weekly loss in three years."
"6900",6903,0,"Negative","10/10/16","The Mexican peso advanced against the dollar on Monday, with analysts saying the move signals a drop in Donald Trump’s chances of becoming the next U.S. president after a tumultuous weekend."
"6901",6904,0,"Negative","10/10/16","U.S. stocks closed higher Monday as rising optimism that OPEC would reach a deal to cut production—a move seen as necessary for addressing oversupply—delivered a jolt to energy shares."
"6902",6905,1,"Positive","10/11/16","Rising crude oil prices and weaker local currencies helped boost Asian stock markets on Tuesday, with Japan’s Nikkei standing out as the region’s best performer."
"6903",6906,-1,"Negative","10/11/16","The rustle of crisp sell orders, the gabble of analysts defending their overly rosy calls — it’s earnings season again, with Alcoa kicking it all off this morning."
"6904",6907,1,"Positive","10/11/16","Gold futures logged their seventh drop in eight sessions Tuesday as the dollar saw firm gains on the back of Brexit-inspired losses in the British pound."
"6905",6908,-6,"Negative","10/11/16","U.S. stocks closed sharply lower Tuesday after Alcoa Inc. results started earnings season off on a dour note while oil prices fell and the dollar rose. The Dow Jones Industrial Average 
        djia
       fell 200.38 points, or 1.1%, to close at 18,128.66, weighed down by large declines in shares of Merck & Co. 
        mrk
       and UnitedHealth Group Inc. 
        unh.
       The S&P 500 Index 
        spx
       closed down 26.93 points, or 1.2%, at 2,136.73, led by declines in the health-care and materials sectors. The Nasdaq Composite index 
        comp
       dropped 81.89 points, or 1.5%, to close at 5,246.79. Alcoa 
        aa
       shares closed down more than 11% after a big miss on earnings. Oil prices 
        clx6
       settled down 1.1% at $50.79 on reports of higher crude production, while the dollar 
        dxy
       jumped 0.7%."
"6906",6909,-1,"Negative","10/11/16","U.S. stocks on Tuesday posted their biggest percentage drop since early September after aluminum giant Alcoa Inc.’s results cast a shadow over the broader market as third-quarter earnings season got under way. A stronger dollar and a retreat in oil prices also hurt sentiment."
"6907",6910,-4,"Negative","10/11/16","The pound fell sharply against the dollar Tuesday, accelerating a recent downward trend that has taken the currency to multidecade lows as Brexit fallout worries intensify."
"6908",6911,2,"Positive","10/11/16","If you’re not a currencies trader, why should you care that the British pound is getting ... well ... pounded as of late? A cheaper vacation is one answer that springs to mind."
"6909",6912,0,"Negative","10/12/16","The ever-lower lows in U.S. politics might make you want to go hide — and yesterday’s one-month low for U.S. stocks could be adding to that “Gimme Shelter” feeling."
"6910",6913,-4,"Negative","10/12/16","Brace for impact. U.S. stocks tumbled Tuesday and are threatening to book their worst loss in October."
"6911",6914,0,"Negative","10/12/16","U.K. stocks slumped Wednesday, as oil prices fell and Brexit-related pound gains pinched the blue chips."
"6912",6915,-3,"Negative","10/12/16","Stocks in Europe ended lower Wednesday, with technology shares hard hit after Ericsson AB tumbled in the wake of a profit warning, while energy stocks followed a selloff in oil prices."
"6913",6916,3,"Positive","10/12/16","Gold futures settled lower Wednesday, pressured by modest gains in the dollar, but prices headed higher in electronic trade after the Federal Reserve released minutes from its September meeting."
"6914",6917,0,"Negative","10/12/16","The U.S. dollar strengthened against major rivals Wednesday after minutes from the latest Federal Reserve meeting underlined market expectations for a December rate hike."
"6915",6918,0,"Negative","10/12/16","U.S. stocks finished mostly higher Wednesday after minutes from the Federal Reserve’s September policy meeting showed support for a rate rise relatively soon but implied a go-slow approach."
"6916",6919,-1,"Negative","10/13/16","Asian shares were broadly lower Thursday, with Thailand’s equities weighed down by persistent concerns about the health of the country’s king."
"6917",6920,-1,"Negative","10/13/16","Minutes from the Federal Reserve’s most recent confab back in September hit at 2 p.m. Eastern Time Wednesday, and so far in 2016 stocks have had a tendency for a knee-jerk move higher the same day as the release."
"6918",6921,-2,"Negative","10/13/16","Investors who are still expecting the third-quarter earnings season to mark the inflection point from the last five quarters of declines may be disappointed when Alcoa Inc. kicks this round off next week."
"6919",6922,2,"Positive","10/13/16","Gold futures settled higher Thursday, building on gains seen in electronic trading Wednesday following the Federal Reserve's release of policy meeting minutes, as the dollar slipped. Gold for December delivery 
        gcz6
       settled up $3.80, or 0.3%, at $1,257.60 an ounce, while the U.S. dollar 
        DXY,
        +0.67%
       retreated 0.4% against a basket of major currencies. A weaker dollar provides a boost to dollar-denominated commodities. Silver for December delivery 
        siz6,
       on the other hand, settled down 4.7 cents, or 0.3%, at just under $17.46 an ounce."
"6920",6923,-1,"Negative","10/13/16","Gold futures settled higher Thursday as the dollar retreated, a day after largely as-expected policy meeting minutes from the Federal Reserve did little to sway expectations for slow, data-driven rate increases by the central bank."
"6921",6924,-2,"Negative","10/13/16","The dollar fell against its major rivals Thursday, pulling back from multi-month highs in the wake of disappointing data out of China."
"6922",6925,-1,"Negative","10/13/16","U.S. stocks finished in the red Thursday as investors grew jittery following the Federal Reserve’s latest meeting minutes as well as weak Chinese economic reports. But the market closed off intraday lows."
"6923",6926,3,"Positive","10/14/16","Gold futures settled lower Friday as the dollar climbed on the back of upbeat U.S. retail sales data, but scored their first weekly gain in three weeks."
"6924",6927,1,"Positive","10/14/16","The dollar strengthened on Friday, posting its sharpest weekly advance in almost a year as expectations for an interest-rate hike by year’s end continued to increase."
"6925",6928,0,"Negative","10/14/16","U.S. stocks closed slightly higher Friday, finishing near lows of the session to turn in a second losing week in a row, after a trio of quarterly bank results topped analyst estimates and Federal Reserve Chairwoman Janet Yellen said there may be benefits to running the economy with a tight labor market."
"6926",6929,5,"Positive","10/14/16","U.S. stocks on Friday finished barely higher as an early rise, buoyed by gains in bank shares, faded into the close. The three main equity benchmarks finished the week with a second-straight weekly loss. On the day, the Dow Jones Industrial Average 
        DJIA,
        -1.94%
       ended up 0.2% at 18,138, closing well of its highs of the session, the S&P 500 index 
        SPX,
        -2.38%
       wrapped up little-changed at 2,132 and the Nasdaq Composite Index 
        COMP,
        -2.75%
       was flat at 5,214. Better-than-expected quarterly results from the likes of J.P. Morgan Chase & Co. 
        JPM,
        -2.10%
       delivered an initial jolt to the banking sector and the broader market, with strength in J.P. Morgan's trading unit hinting at a possibly solid quarter for trading powerhouse Goldman Sachs Group 
        GS,
        -3.32%.
       Goldman's rise led gains for the Dow industrials. Goldman is set to report its results Oct. 18. Although financial institutions set an upbeat tone, Wells Fargo & Co.'s 
        WFC,
        -4.39%
       fake-account scandal overshadowed its solid results. Comments from Federal Reserve Chairwoman Janet Yellen midday Friday, where she suggested the fed could overshoot its 2% inflation target, and a strengthening dollar 
        DXY,
        +0.68%,
       up 0.6%, helped to limit gains for U.S. equities. For the week, the Dow closed off 0.6%, the S&P 500 ended with a weekly decline of 1% and the Nasdaq Composite closed off 1.5%. Meanwhile, the buck ended up 1.5% on the week. A rising dollar can be viewed as a headwind for multinational companies, which rely on selling goods abroad."
"6927",6930,0,"Negative","10/16/16","With corporate earnings shifting into high gear, how the stock market moves next week could determine whether key indexes correct lower or recharge to break out on the upside."
"6928",6931,0,"Negative","10/17/16","The Brexit-hit pound has dropped about 6% against the dollar so far this month, leaving it down 17% versus the buck for the year."
"6929",6932,-1,"Negative","10/17/16","Oil futures were trading lower Monday as an increase in the number of rigs actively drilling for oil in the U.S. and rising crude output from major producers pushed prices in New York back below the $50-a-barrel level."
"6930",6933,1,"Positive","10/17/16","European stocks slumped Monday, led by a pullback in oil shares, as investors entered the trading week with the dollar sitting at a seven-month high while they waited to hear what’s next for monetary policy at the European Central Bank."
"6931",6934,-2,"Negative","10/17/16","U.K. stocks fell by the most in three weeks Monday, with commodity shares dragged lower as expectations for a U.S. interest-rate hike kept the dollar close to multimonth highs."
"6932",6935,3,"Positive","10/17/16","Gold futures settled with a modest gain on Monday as traders looked to coming U.S. economic data, comments from various Federal Reserve speakers and a meeting of the European Central Bank later this week for clues on monetary policy."
"6933",6936,1,"Positive","10/17/16","It is getting dicey out there for Wall Street investors, although stocks eked out a modest rise on Friday."
"6934",6937,-2,"Negative","10/17/16","The dollar pulled back on Monday against most of its main rivals as weak manufacturing data rattled expectations for an interest-rate hike before year’s end."
"6935",6938,0,"Negative","10/17/16","U.S. stocks finished lower Monday as warnings about accelerating inflation coupled with crude-oil trading below $50 a barrel overshadowed strong earnings from Bank of America Corp."
"6936",6939,-1,"Negative","10/18/16","Stocks look on track to erase a bit of this month’s drop, as the bulls basically tell the bears: “That all ya got?”"
"6937",6940,1,"Positive","10/18/16","Stocks in the U.K. closed with their best gain in two weeks Tuesday, as retail shares advanced, although Burberry Group PLC tumbled by the most in a year as the high-end fashion house’s financial update was a disappointment to investors."
"6938",6941,4,"Positive","10/18/16","Gold futures finished higher Tuesday, marking their loftiest settlement in almost two weeks as strength in the British pound 
        GBPUSD,
        -0.78%
       helped the U.S. dollar 
        DXY,
        +0.71%
       ease back from recent multimonth highs. Strength in the greenback often pressures dollar-denominated prices for the precious metal. December delivery 
        gcz6
       settled at $1,262.90 an ounce, up $6.30, or 0.5%. That was the highest finish since Oct. 5, according to FactSet data."
"6939",6942,3,"Positive","10/18/16","Gold futures on Tuesday book its highest settlement level in nearly two weeks, as strength in the British pound helped the U.S. dollar ease back from recent multimonth highs."
"6940",6943,-1,"Negative","10/18/16","The British pound rose sharply against the dollar Tuesday, boosted as a read on U.K. inflation reached its highest level in nearly two years."
"6941",6944,2,"Positive","10/18/16","U.S. stocks closed higher Tuesday as investors welcomed stronger-than-expected quarterly results from a roster of companies, including Goldman Sachs Group Inc., UnitedHealth Group Inc. and Netflix Inc."
"6942",6945,1,"Positive","10/19/16","Gold prices have enjoyed a hefty climb so far this year as the market continues to guess the pace and timing of the next U.S. interest-rate hike, but the battle for the U.S. presidency is set to take center stage as Election Day nears."
"6943",6946,0,"Negative","10/19/16","Stock futures aren’t doing that much this morning, with the listlessness getting linked to tonight’s rumble in Las Vegas."
"6944",6947,2,"Positive","10/19/16","Gold futures on Wednesday logged a third straight session, climbing to their best level in two weeks, as the U.S. dollar continued to trade off multimonth highs hit earlier this month on the back of a drop in monthly domestic housing starts."
"6945",6948,1,"Positive","10/19/16","The Canadian dollar reversed earlier gains and weakened against the U.S. dollar on Wednesday after the Bank of Canada held its benchmark interest rate at 0.5% but lowered its economic growth forecast."
"6946",6949,3,"Positive","10/19/16","U.S. stocks closed higher for a second session Wednesday, boosted by a rally in the energy sector and stronger-than-expected quarterly results from Morgan Stanley. The Federal Reserve’s Beige Book, an anecdotal economic survey, also indicated that the U.S. economy continues its modest, albeit steady, expansion."
"6947",6950,1,"Positive","10/20/16","The late and legendary Yogi Berra again serves as an inspiration for this column, this time concerning the fate of the U.K. currency. The fact that the British pound is accelerating to the downside is not a surprise to readers of this column as the official Brexit negotiations are now approaching. (See Marketwatch, July 6, 2016, ""The Brexit currency domino effect isn't over yet""). For the time being, it looks to be March of 2017 when Britain will trigger Article 50, after which point, the negotiating parties have two years to sort out this mess. After that, Great Britain will no longer be part of the European Union."
"6948",6951,2,"Positive","10/20/16","Gold futures settled lower Thursday after posting gains over the past three sessions, with prices under pressure as the U.S. dollar strengthened against the British pound in the wake of the European Central Bank’s decision to leave its monetary policy unchanged."
"6949",6952,-1,"Negative","10/20/16","The euro fell against the dollar in up-and-down trade Thursday, following comments from European Central Bank President Mario Draghi, who said policy makers hadn’t discussed either extending the ECB’s bond-buying program or tapering the size of asset purchases."
"6950",6953,1,"Positive","10/20/16","U.S. stocks closed lower Thursday, but off session lows, as a sharp drop in oil and telecommunications shares weighed on investors’ sentiment."
"6951",6954,0,"Negative","10/21/16","U.S. stocks opened firmly lower Friday, with the Dow industrials trading around 100 points lower, as a steadily rising dollar and earnings grabbed investors' attention. The Dow Jones Industrial Average 
        DJIA,
        -1.94%
       was off 109 points, or 0.6%, at 18,057, while the S&P 500 index 
        SPX,
        -2.38%
       was down 9 points, or 0.4%, at 2,131. The Nasdaq Composite Index 
        COMP,
        -2.75%
       gave up about 8 points, or less than 0.2%, to stand at 5,237 -- its decline limited by a 5.1% rise in tech giant Microsoft Corp. 
        MSFT,
        -2.08%.
       Over the week, the S&P 500 is on track for a 0.4% gain, while the Dow is on pace for a 0.1% rise, and the tech-heavy Nasdaq is tracking toward a 0.5% weekly climb. That would end two weekly declines in a row for the three main indexes. The dollar is up 0.4%, as gauged by the ICE U.S. Dollar Index 
        DXY,
        +0.69%,
       as the British pound 
        USDGBP,
        +0.74%
       and the euro 
        USDEUR,
        +0.81%
       have been under pressure. The greenback is on track for a 0.6% weekly return and a 3.4% advance for October, according to FactSet data. A stronger buck can weigh on quarterly results for multinational companies. Meanwhile, Microsoft opened at a record level after late Thursday reporting better-than-expected results."
"6952",6955,-2,"Negative","10/21/16","Don’t look to earnings to bust this market out of its rut."
"6953",6956,0,"Negative","10/21/16","Mirror, mirror on the wall, which asset is most mispriced of all? According to a Goldman Sachs alum who predicted the financial crisis in 2008, it’s gold."
"6954",6957,4,"Positive","10/21/16","Gold futures settled with a slight gain on Friday to tally a weekly climb of roughly 1%. Uncertainty surrounding the U.S. election and the timing of Federal Reserve's next interest-rate hike helped to lift investment interest in the yellow metal despite some strength in the U.S. dollar 
        DXY,
        +0.69%.
       December gold 
        gcz6
       rose 20 cents for the session to settle at $1,267.70 an ounce."
"6955",6958,2,"Positive","10/21/16","Gold futures finished a few cents higher on Friday to tally a gain of roughly 1% for the week."
"6956",6959,0,"Negative","10/21/16","Most big industrial stocks get a good chunk of their business from overseas. Therefore, when the U.S. dollar rises sharply, it can cut into profits from exports."
"6957",6960,0,"Negative","10/21/16","Where is this market headed? It is anyone’s guess."
"6958",6961,-1,"Negative","10/21/16","Oil futures finished modestly higher on Friday, with prices in New York marking a fifth-consecutive weekly gain amid growing expectations that major crude producers will strike a firm deal late next month to curb output."
"6959",6962,0,"Negative","10/21/16","The U.S. dollar on Friday strengthened to its highest level against most major rivals in more than eight months as major European currencies were still swooning from the prospect of more stimulus for the eurozone economy from the European Central Bank."
"6960",6963,-1,"Negative","10/21/16","The Dow and S&P 500 on Friday finished near break-even, but ended well off their lows of the session, while the Nasdaq rallied and all three indexes ended a string of back-to-back weekly declines."
"6961",6964,0,"Negative","10/24/16","A rip-roaring recovery for European mining giants have seen the sector zip past other industries this year, but the striking performance is set to come to an abrupt end, according to Deutsche Bank."
"6962",6965,2,"Positive","10/24/16","Gold futures settled lower on Monday as the U.S. dollar touched another 8-month high in the wake of data showing that the pace of growth among American manufacturers was better than expected in October."
"6963",6966,3,"Positive","10/24/16","The dollar rose against most of its major rivals Monday, extending a recent upward trend that has come on growing expectations for higher interest rates, though strong eurozone data helped the shared currency stabilize near multi-month lows."
"6964",6967,1,"Positive","10/24/16","U.S. stocks pulled back from session highs but ended with gains Monday, getting a lift from a heavy round of merger announcements, including AT&T’s planned acquisition of Time Warner."
"6965",6968,0,"Negative","10/25/16","Want a clearer picture of how earnings season is shaping up? Today’s avalanche of results may help."
"6966",6969,-1,"Negative","10/25/16","Gold futures settled Tuesday at their highest level in about three weeks, rebounding from the previous day’s decline as uncertainty ahead of the U.S. presidential election, some weakness in the U.S. dollar and a fall in domestic equities boosted the metal’s appeal."
"6967",6970,-1,"Negative","10/25/16","U.S. stocks finished lower on Tuesday, giving back some of the previous day’s advance as worries about a lackluster spate of earnings and a slip in a reading of consumer confidence weighed on market sentiment."
"6968",6971,-1,"Negative","10/25/16","The U.S. dollar strengthened slightly against the pound, as the British currency sold off sharply, extending its fall to fresh multidecade lows, while it softened against the euro."
"6969",6972,0,"Negative","10/26/16","The Apple faithful might need to stick their fingers in their ears and hum this morning. Ditto for the bulls who have been hanging on in this go-nowhere market."
"6970",6973,-3,"Negative","10/26/16","U.K. stocks on Wednesday lost the most in more than a week, dragged lower by declines in shares of metals and oil producers."
"6971",6974,1,"Positive","10/26/16","Gold futures retreated from their highest levels in three weeks on Wednesday, giving back most of what they gained a day earlier with overall strength in the U.S. dollar and prospects for higher U.S. interest rates putting pressure on prices before the Federal Reserve meeting and U.S. elections next month."
"6972",6975,-1,"Negative","10/26/16","The U.S. dollar strengthened against the Mexican peso and Russian ruble Wednesday as a retreat by oil prices weighed on the currencies of commodity-exporting countries."
"6973",6976,0,"Negative","10/26/16","U.S. stocks closed mostly lower Wednesday as Apple Inc., the largest U.S. company by market cap, tumbled, but the Dow Jones Industrial Average bucked the trend thanks to Boeing Inc., which soared on robust earnings."
"6974",6977,-1,"Negative","10/27/16","If the presidential race hasn’t had quite enough peacocking and dramatic twists for you, then this earnings season ought to be doing the trick."
"6975",6978,0,"Negative","10/27/16","The U.S. dollar extended strength against its major rivals throughout Thursday’s trading session in a continuation of the greenback’s rate-driven upward trend."
"6976",6979,1,"Positive","10/27/16","Gold futures settled higher on Thursday as weaker-than-expected orders for U.S. durable goods raised some uncertainty over an interest-rate hike before the end of the year."
"6977",6980,-1,"Negative","10/27/16","U.S. stocks closed lower Thursday, after a session of fluctuating between slight gains and losses, as a jump in bond yields prompted a selloff in defensive sectors such as real estate while investors sifted through mixed earnings results and deal news."
"6978",6981,1,"Positive","10/28/16","Today is all about earnings and Q3 GDP, because the election is kind of a done deal — right?"
"6979",6982,3,"Positive","10/28/16","Gold futures finished higher on Friday, logging a third consecutive weekly gain and their highest close in nearly four weeks as weakness in the U.S. dollar and a new probe into Hillary Clinton’s emails raised the metal’s appeal as a safe-haven investment."
"6980",6983,-1,"Negative","10/28/16","The Mexican peso dropped sharply against the dollar Friday after news hit that the FBI is restarting a probe into Hillary Clinton’s emails after finding more messages that may be relevant to an earlier investigation."
"6981",6984,-1,"Negative","10/28/16","U.S. stocks ended a volatile session with modest losses on Friday, pressured by the surprise announcement that the Federal Bureau of Investigation was restarting a probe into Hillary Clinton’s emails, adding a new dose of political uncertainty into the market."
"6982",6985,1,"Positive","10/28/16","A fresh probe by the Federal Bureau of Investigation into a cache of Democratic presidential candidate Hillary Clinton’s emails, just whacked Wall Street."
"6983",6986,0,"Negative","10/29/16","Oil futures are on track to end October with a gain, but it could be the smallest rise in eight months, as traders weigh the potential success or failure of a plan by major oil producers to cap crude output."
"6984",6987,1,"Positive","10/31/16","European stocks slipped Monday, as lower oil prices weighed on energy shares and as the market failed to find relief in fresh economic growth and inflation data."
"6985",6988,-4,"Negative","10/31/16","Ignore this event risk at your own peril. That’s the warning from at least one analyst weighing in on Monday morning, days after the Federal Bureau of Investigation said it was reviewing newly obtained emails linked to Democratic presidential candidate Hillary Clinton."
"6986",6989,0,"Negative","10/31/16","Gold futures fell Monday, expanding their October loss to some 3%, with a stronger U.S. dollar setting the tone."
"6987",6990,2,"Positive","10/31/16","The dollar gained against its main trading rivals on Monday, as the greenback logged its strongest monthly advance against the Japanese yen in two years."
"6988",6991,1,"Positive","10/31/16","U.S. stocks closed lower after drifting between slight gains and losses Monday, finishing October with a loss, as stronger-than-expected consumer spending data underlined the view that the economy is growing at a steady pace, while a drop in oil prices and election uncertainty weighed on the minds of investors."
"6989",6992,0,"Negative","11/01/16","November is starting off with a hint of green on screens, but it’s cold comfort after three down months in a row for the S&P 500."
"6990",6993,-1,"Negative","11/01/16","Investors can’t afford to ignore a steepening yield curve, because assets ranging from emerging-market debt to U.S. real estate will feel the bite of higher longer-term borrowing costs in the U.S. and elsewhere."
"6991",6994,2,"Positive","11/01/16","WASHINGTON (MarketWatch) — American manufacturers grew slightly faster in October and  even put more people to work for the first in four months , a hopeful sign for an industry that has struggled to grow over the past year and contributed to a slowdown in the U.S. economy."
